iter	Passed	Remaining
465	11962	13708
466	11986	13680
467	12011	13654
468	12036	13627
469	12060	13600
470	12088	13577
471	12112	13549
472	12137	13522
473	12162	13496
474	12187	13470
475	12213	13444
476	12242	13423
477	12270	13399
478	12295	13373
479	12322	13349
480	12346	13321
481	12373	13297
482	12398	13271
483	12423	13245
484	12449	13220
485	12474	13193
486	12502	13169
487	12528	13144
488	12552	13117
489	12579	13093
490	12603	13065
491	12627	13038
492	12652	13011
493	12676	12984
494	12703	12960
495	12728	12933
496	12757	12911
497	12782	12885
498	12806	12857
499	12832	12832
500	12854	12803
501	12879	12776
502	12903	12749
503	12928	12723
504	12953	12697
505	12979	12672
506	13006	12647
507	13032	12621
508	13057	12595
509	13085	12572
510	13111	12547
511	13139	12523
512	13162	12495
513	13186	12468
514	13211	12441
515	13236	12415
516	13263	12391
517	13291	12367
518	13316	12341
519	13340	12314
520	13367	12289
521	13393	12264
522	13418	12238
523	13443	12212
524	13468	12185
525	13493	12159
526	13519	12134
527	13545	12109
528	13570	12082
529	13595	12056
530	13620	12030
531	13645	12004
532	13669	11976
533	13693	11949
534	13719	11924
535	13744	11898
536	13769	11871
537	13795	11847
538	13820	11820
539	13844	11793
540	13869	11767
541	13894	11741
542	13919	11714
543	13945	11689
544	13969	11662
545	13995	11637
546	14021	11612
547	14045	11585
548	14071	11559
549	14098	11534
550	14122	11507
551	14146	11481
552	14173	11456
553	14198	11430
554	14224	11405
555	14248	11378
556	14273	11351
557	14300	11327
558	14323	11300
559	14349	11274
560	14374	11248
561	14400	11222
562	14424	11196
563	14447	11168
564	14472	11142
565	14498	11117
566	14523	11091
567	14548	11064
568	14573	11039
569	14600	11014
570	14627	10989
571	14651	10963
572	14679	10939
573	14704	10912
574	14728	10886
575	14753	10860
576	14778	10834
577	14804	10808
578	14830	10783
579	14855	10757
580	14881	10731
581	14907	10706
582	14935	10682
583	14961	10657
584	14986	10631
585	15012	10605
586	15037	10580
587	15062	10553
588	15088	10528
589	15116	10504
590	15140	10477
591	15166	10452
592	15189	10424
593	15213	10398
594	15238	10372
595	15265	10347
596	15292	10322
597	15318	10297
598	15343	10271
599	15368	10245
600	15395	10220
601	15418	10193
602	15443	10167
603	15466	10140
604	15492	10114
605	15520	10090
606	15545	10064
607	15572	10040
608	15599	10015
609	15629	9992
610	15654	9966
611	15679	9940
612	15704	9914
613	15730	9888
614	15758	9864
615	15783	9839
616	15811	9814
617	15836	9788
618	15862	9763
619	15887	9737
620	15911	9711
621	15935	9684
622	15961	9658
623	15987	9633
624	16012	9607
625	16037	9581
626	16062	9555
627	16087	9529
628	16112	9503
629	16136	9477
630	16160	9450
631	16187	9425
632	16214	9400
633	16241	9375
634	16265	9349
635	16290	9323
636	16313	9296
637	16339	9271
638	16365	9245
639	16392	9221
640	16415	9193
641	16442	9168
642	16467	9142
643	16496	9119
644	16521	9093
645	16545	9066
646	16570	9040
647	16596	9015
648	16623	8990
649	16647	8964
650	16670	8937
651	16696	8911
652	16720	8885
653	16744	8858
654	16769	8832
655	16793	8806
656	16819	8781
657	16846	8756
658	16873	8731
659	16898	8705
660	16925	8680
661	16951	8655
662	16974	8628
663	16999	8602
664	17025	8576
665	17050	8550
666	17073	8524
667	17100	8498
668	17125	8473
669	17149	8446
670	17174	8421
671	17201	8395
672	17226	8369
673	17250	8343
674	17273	8316
675	17297	8290
676	17321	8263
677	17346	8238
678	17372	8213
679	17398	8187
680	17427	8163
681	17453	8138
682	17478	8112
683	17504	8087
684	17528	8060
685	17553	8034
686	17579	8009
687	17606	7984
688	17632	7959
689	17656	7932
690	17682	7907
691	17709	7882
692	17735	7856
693	17758	7830
694	17784	7804
695	17811	7779
696	17837	7754
697	17864	7729
698	17896	7706
699	17924	7681
700	17951	7656
701	17976	7631
702	18001	7605
703	18027	7579
704	18051	7553
705	18076	7527
706	18101	7501
707	18124	7475
708	18152	7450
709	18180	7425
710	18205	7400
711	18232	7374
712	18258	7349
713	18284	7323
714	18309	7298
715	18333	7272
716	18360	7246
717	18385	7221
718	18410	7195
719	18435	7169
720	18459	7142
721	18483	7117
722	18510	7091
723	18535	7066
724	18562	7040
725	18588	7015
726	18616	6990
727	18639	6964
728	18662	6937
729	18688	6912
730	18714	6886
731	18738	6860
732	18764	6835
733	18790	6809
734	18815	6783
735	18840	6758
736	18867	6732
737	18893	6707
738	18919	6681
739	18946	6656
740	18971	6631
741	18997	6605
742	19021	6579
743	19048	6554
744	19075	6529
745	19102	6504
746	19128	6478
747	19154	6453
748	19179	6427
749	19204	6401
750	19230	6376
751	19254	6349
752	19281	6324
753	19306	6298
754	19331	6273
755	19356	6247
756	19385	6222
757	19411	6197
758	19436	6171
759	19461	6145
760	19498	6123
761	19522	6097
762	19548	6072
763	19577	6047
764	19601	6021
765	19627	5995
766	19652	5969
767	19678	5944
768	19702	5918
769	19727	5892
770	19753	5867
771	19780	5842
772	19807	5816
773	19832	5790
774	19860	5766
775	19888	5740
776	19915	5715
777	19941	5690
778	19967	5664
779	19991	5638
780	20017	5613
781	20042	5587
782	20068	5561
783	20094	5536
784	20120	5510
785	20147	5485
786	20174	5460
787	20200	5434
788	20225	5408
789	20251	5383
790	20276	5357
791	20302	5332
792	20328	5306
793	20354	5281
794	20384	5256
795	20410	5230
796	20435	5205
797	20461	5179
798	20486	5153
799	20512	5128
800	20538	5102
801	20564	5077
802	20588	5050
803	20615	5025
804	20640	4999
805	20666	4974
806	20691	4948
807	20716	4922
808	20744	4897
809	20772	4872
810	20796	4846
811	20821	4820
812	20848	4795
813	20876	4770
814	20901	4744
815	20928	4719
816	20951	4692
817	20976	4667
818	21002	4641
819	21027	4615
820	21053	4590
821	21079	4564
822	21103	4538
823	21126	4512
824	21150	4486
825	21176	4460
826	21200	4434
827	21225	4409
828	21252	4383
829	21279	4358
830	21305	4332
831	21332	4307
832	21357	4281
833	21384	4256
834	21409	4230
835	21435	4204
836	21461	4179
837	21486	4153
838	21513	4128
839	21538	4102
840	21565	4077
841	21591	4051
842	21615	4025
843	21640	3999
844	21668	3974
845	21692	3948
846	21715	3922
847	21740	3896
848	21764	3871
849	21790	3845
850	21814	3819
851	21839	3793
852	21870	3769
853	21897	3743
854	21922	3717
855	21948	3692
856	21972	3666
857	21998	3640
858	22023	3615
859	22046	3589
860	22072	3563
861	22099	3537
862	22122	3511
863	22147	3486
864	22174	3460
865	22198	3434
866	22225	3409
867	22251	3383
868	22274	3357
869	22301	3332
870	22326	3306
871	22353	3281
872	22377	3255
873	22402	3229
874	22427	3203
875	22452	3178
876	22478	3152
877	22502	3126
878	22528	3101
879	22553	3075
880	22578	3049
881	22604	3024
882	22632	2998
883	22657	2973
884	22683	2947
885	22706	2921
886	22731	2895
887	22756	2870
888	22782	2844
889	22808	2819
890	22832	2793
891	22856	2767
892	22880	2741
893	22907	2716
894	22931	2690
895	22956	2664
896	22980	2638
897	23005	2613
898	23032	2587
899	23057	2561
900	23082	2536
901	23109	2510
902	23134	2485
903	23160	2459
904	23185	2433
905	23211	2408
906	23238	2382
907	23264	2357
908	23290	2331
909	23316	2306
910	23342	2280
911	23368	2254
912	23396	2229
913	23423	2203
914	23449	2178
915	23475	2152
916	23501	2127
917	23525	2101
918	23552	2075
919	23577	2050
920	23602	2024
921	23629	1999
922	23655	1973
923	23680	1947
924	23706	1922
925	23731	1896
926	23757	1870
927	23783	1845
928	23810	1819
929	23835	1794
930	23860	1768
931	23885	1742
932	23914	1717
933	23939	1691
934	23963	1665
935	23987	1640
936	24011	1614
937	24036	1588
938	24063	1563
939	24090	1537
940	24117	1512
941	24141	1486
942	24167	1460
943	24192	1435
944	24219	1409
945	24244	1383
946	24269	1358
947	24295	1332
948	24321	1307
949	24347	1281
950	24373	1255
951	24400	1230
952	24425	1204
953	24451	1179
954	24477	1153
955	24501	1127
956	24528	1102
957	24554	1076
958	24581	1050
959	24606	1025
960	24632	999
961	24657	973
962	24682	948
963	24706	922
964	24731	897
965	24759	871
966	24784	845
967	24811	820
968	24838	794
969	24864	769
970	24890	743
971	24916	717
972	24941	692
973	24966	666
974	24991	640
975	25016	615
976	25041	589
977	25066	563
978	25091	538
979	25119	512
980	25143	486
981	25168	461
982	25192	435
983	25218	410
984	25244	384
985	25270	358
986	25295	333
987	25321	307
988	25347	281
989	25373	256
990	25400	230
991	25425	205
992	25453	179
993	25478	153
994	25505	128
995	25531	102
996	25556	76
997	25581	51
998	25606	25
999	25633	0
